peerURI,serverName,host,machine,"search_group","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group"
localhost,fedora,fedora,fedora,"dmc_group_indexer",,,,,
localhost,fedora,fedora,fedora,"dmc_group_kv_store",,,,,
localhost,fedora,fedora,fedora,"dmc_group_license_master",,,,,
localhost,fedora,fedora,fedora,"dmc_group_search_head",,,,,
